count,line,col,end_line,end_col,kind,fn,text
14435,110,60,451,2,call / statement,borrow_check.cpp:logos::compiler::build_type_sets,static TypeSets build_type_sets(const lir::LProgram& prog) {
477973,129,34,132,6,loop body,borrow_check.cpp:logos::compiler::build_type_sets,for (auto& cv : prog.consts) {
477973,130,13,130,27,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (cv.is_static()) continue;   // real global storage — borrow is sound
221,130,29,130,37,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (cv.is_static()) continue;   // real global storage — borrow is sound
477752,131,9,132,6,statement,borrow_check.cpp:logos::compiler::build_type_sets,ts.frame_consts.insert(std::string(cv.name()));
73693199,133,59,151,6,call / statement,borrow_check.cpp:logos::compiler::build_type_sets,auto register_drop_symbol = [&](std::string_view sym) {
73693199,138,40,138,69,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (auto dot = sym.rfind('.'); dot != std::string_view::npos)
71713535,139,13,139,38,statement,borrow_check.cpp:logos::compiler::build_type_sets,sym = sym.substr(dot + 1);
73693199,140,42,140,69,if guard,borrow_check.cpp:logos::compiler::build_type_sets,"if (auto p = sym.find(""__drop""); p != std::string_view::npos) {"
371936,140,71,150,10,if guard,borrow_check.cpp:logos::compiler::build_type_sets,"if (auto p = sym.find(""__drop""); p != std::string_view::npos) {"
371936,148,43,148,70,if guard,borrow_check.cpp:logos::compiler::build_type_sets,"if (auto g = base.find(""$G""); g != std::string_view::npos)"
110650,149,17,149,69,statement,borrow_check.cpp:logos::compiler::build_type_sets,"ts.drop_types.insert(std::string(base.substr(0, g)));"
28870,152,63,155,6,call / statement,borrow_check.cpp:logos::compiler::build_type_sets,auto scan_fns = [&](const std::vector<LFunctionPtr>& fns) {
38403222,154,13,154,44,statement,borrow_check.cpp:logos::compiler::build_type_sets,register_drop_symbol(fn.name());
14962001,159,9,161,11,call / statement,borrow_check.cpp:logos::compiler::build_type_sets,sd.each_method([&](lir_view::FunctionView m) {
35289977,159,54,161,10,call / statement,borrow_check.cpp:logos::compiler::build_type_sets,sd.each_method([&](lir_view::FunctionView m) {
9143480,163,9,164,66,if guard,borrow_check.cpp:logos::compiler::build_type_sets,"if (impl.trait_name() == ""Copy"")"
9143480,163,13,163,40,if guard,borrow_check.cpp:logos::compiler::build_type_sets,"if (impl.trait_name() == ""Copy"")"
315092,164,13,164,66,statement,borrow_check.cpp:logos::compiler::build_type_sets,ts.copy_types.insert(std::string(impl.target_type()));
225539,176,73,188,6,call / statement,borrow_check.cpp:logos::compiler::build_type_sets,"auto reg_bc_name = [&](const std::string& name, bool strip_generic) {"
225539,179,38,179,67,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (auto dot = n.rfind('.'); dot != std::string_view::npos)
0,180,13,180,70,statement,borrow_check.cpp:logos::compiler::build_type_sets,ts.borrow_carrying.insert(std::string(n.substr(dot + 1)));
225539,181,13,181,27,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (!strip_generic) return;
160384,181,29,181,35,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (!strip_generic) return;
65155,182,9,188,6,if guard,borrow_check.cpp:logos::compiler::build_type_sets,"if (auto g = n.find(""$G""); g != std::string_view::npos) {"
65155,182,36,182,63,if guard,borrow_check.cpp:logos::compiler::build_type_sets,"if (auto g = n.find(""$G""); g != std::string_view::npos) {"
15578,182,65,187,10,if guard,borrow_check.cpp:logos::compiler::build_type_sets,"if (auto g = n.find(""$G""); g != std::string_view::npos) {"
15578,185,44,185,72,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (auto d2 = base.rfind('.'); d2 != std::string_view::npos)
0,186,17,186,76,statement,borrow_check.cpp:logos::compiler::build_type_sets,ts.borrow_carrying.insert(std::string(base.substr(d2 + 1)));
14966690,189,48,191,6,call / statement,borrow_check.cpp:logos::compiler::build_type_sets,auto reg_bc = [&](lir_view::StructView sd) {
14966690,190,13,190,33,if guard,borrow_check.cpp:logos::compiler::build_type_sets,"if (sd.borrow_carrying()) reg_bc_name(std::string(sd.name()), /*strip_generic=*/true);"
50710,190,35,190,94,if guard,borrow_check.cpp:logos::compiler::build_type_sets,"if (sd.borrow_carrying()) reg_bc_name(std::string(sd.name()), /*strip_generic=*/true);"
14962001,192,35,192,45,loop body,borrow_check.cpp:logos::compiler::build_type_sets,for (auto& sd : prog.structs) reg_bc(sd);
4689,193,50,193,60,loop body,borrow_check.cpp:logos::compiler::build_type_sets,for (auto& sd : prog.struct_specializations) reg_bc(sd);
547477,196,9,196,94,if guard,borrow_check.cpp:logos::compiler::build_type_sets,"if (ed.borrow_carrying()) reg_bc_name(std::string(ed.name()), /*strip_generic=*/true);"
547477,196,13,196,33,if guard,borrow_check.cpp:logos::compiler::build_type_sets,"if (ed.borrow_carrying()) reg_bc_name(std::string(ed.name()), /*strip_generic=*/true);"
14445,196,35,196,94,if guard,borrow_check.cpp:logos::compiler::build_type_sets,"if (ed.borrow_carrying()) reg_bc_name(std::string(ed.name()), /*strip_generic=*/true);"
425756949,203,54,210,6,statement,borrow_check.cpp:logos::compiler::build_type_sets,auto type_bc_name = [](TypeRef t) -> std::string {
425756949,204,13,204,15,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (!t) return {};
0,204,17,204,26,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (!t) return {};
425756949,205,9,210,6,statement,borrow_check.cpp:logos::compiler::build_type_sets,auto k = t.kind();
425756949,206,13,206,39,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (k == LogosType::Kind::Enum) return std::string(t.enum_name());
13539356,206,41,206,74,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (k == LogosType::Kind::Enum) return std::string(t.enum_name());
412217593,207,9,210,6,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (k == LogosType::Kind::Struct || k == LogosType::Kind::ZonedStruct)
412217593,207,13,207,41,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (k == LogosType::Kind::Struct || k == LogosType::Kind::ZonedStruct)
412217593,207,13,207,78,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (k == LogosType::Kind::Struct || k == LogosType::Kind::ZonedStruct)
234916492,207,45,207,78,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (k == LogosType::Kind::Struct || k == LogosType::Kind::ZonedStruct)
177301887,208,13,208,48,early return,borrow_check.cpp:logos::compiler::build_type_sets,return std::string(t.struct_name());
234915706,209,9,209,18,early return,borrow_check.cpp:logos::compiler::build_type_sets,return {};
77763032,211,46,224,6,statement,borrow_check.cpp:logos::compiler::build_type_sets,auto type_is_bc = [&](TypeRef t) -> bool {
77763032,217,13,217,23,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (!n.empty() && ts.borrow_carrying.count(n) > 0) return true;
77763032,217,13,217,58,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (!n.empty() && ts.borrow_carrying.count(n) > 0) return true;
32449451,217,27,217,58,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (!n.empty() && ts.borrow_carrying.count(n) > 0) return true;
157331,217,60,217,71,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (!n.empty() && ts.borrow_carrying.count(n) > 0) return true;
77605701,218,9,224,6,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (!t) return false;
77605701,218,13,218,15,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (!t) return false;
0,218,17,218,29,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (!t) return false;
77605701,219,9,224,6,loop body,borrow_check.cpp:logos::compiler::build_type_sets,for (auto a : t.type_args()) {
45068885,219,38,222,10,loop body,borrow_check.cpp:logos::compiler::build_type_sets,for (auto a : t.type_args()) {
45068885,221,17,221,28,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (!an.empty() && ts.borrow_carrying.count(an) > 0) return true;
45068885,221,17,221,64,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (!an.empty() && ts.borrow_carrying.count(an) > 0) return true;
22380213,221,32,221,64,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (!an.empty() && ts.borrow_carrying.count(an) > 0) return true;
3053,221,66,221,77,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (!an.empty() && ts.borrow_carrying.count(an) > 0) return true;
77602648,223,9,223,21,early return,borrow_check.cpp:logos::compiler::build_type_sets,return false;
43884309,230,72,241,6,statement,borrow_check.cpp:logos::compiler::build_type_sets,auto holds_residency_holder = [&](lir_view::StructView sd) -> bool {
116221422,231,37,239,10,loop body,borrow_check.cpp:logos::compiler::build_type_sets,for (auto& f : sd.fields()) {
116221422,233,17,233,20,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (!ft) continue;
0,233,22,233,30,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (!ft) continue;
116221422,234,13,239,10,statement,borrow_check.cpp:logos::compiler::build_type_sets,auto k = ft.kind();
116221422,235,17,235,45,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (k != LogosType::Kind::Struct && k != LogosType::Kind::ZonedStruct) continue;
116221422,235,17,235,82,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (k != LogosType::Kind::Struct && k != LogosType::Kind::ZonedStruct) continue;
73707066,235,49,235,82,if guard,borrow_check.cpp:logos::compiler::build_type_sets,if (k != LogosType::Kind::Struct && k != LogosType::Kind::ZonedStruct) continue;
