ROUND 2026-09-14o-autoreffund — CONTROL REVERT: build-land0913d rebuilt from HEAD 60a1a766f's three compiler files (git checkout,
then restored byte-identical: sha1 OK x3, git diff sha e4447a30dce0 before and after). Every program compiled, linked, run twice,
valgrind once, against that build's own stdlib. E=valgrind error count.
aggregate_extended_borrow_temp_never_dropped cc=0 run=1/1 stdout=[inside=0 n=0|] E=0 
array_rvalue_range_index_temp_never_dropped cc=0 run=1/1 stdout=[n=0 r=0|] E=0 
bc_0914o_autoreffund_hb_c04_admit cc=0 run=1/1 stdout=[seq=2|] E=0 
bc_0914o_autoreffund_hb_c05_admit cc=0 run=1/1 stdout=[seq=2|] E=0 
bc_0914o_autoreffund_hb_c06_admit cc=0 run=1/1 stdout=[k=2 seq=123|] E=0 
bc_0914o_autoreffund_hb_c07_admit cc=0 run=0/0 stdout=[] E=4 | definitely lost: 216 bytes in 4 blocks
bc_0914o_autoreffund_hb_c08_admit cc=0 run=1/1 stdout=[seq=2|] E=0 
bc_0914o_autoreffund_hb_c09_admit cc=0 run=1/1 stdout=[seq=2|] E=0 
bc_0914o_autoreffund_hb_c11_admit cc=0 run=1/1 stdout=[k=3 seq=12|] E=0 
bc_0914o_autoreffund_hb_c13_admit cc=0 run=1/1 stdout=[seq=222|] E=0 
bc_0914o_autoreffund_hb_c15_admit cc=0 run=1/1 stdout=[seq=1|] E=0 
bc_0914o_autoreffund_hb_c16_admit cc=0 run=1/1 stdout=[seq=3|] E=0 
bc_0914o_autoreffund_hb_c17_admit cc=0 run=1/1 stdout=[inside=2 seq=2|] E=0 
bc_0914o_autoreffund_hb_c19_admit cc=0 run=1/1 stdout=[seq=2342|] E=0 
bc_0914o_autoreffund_hb_c20_admit cc=0 run=1/1 stdout=[seq=12|] E=0 
bc_0914o_autoreffund_hb_c21_admit cc=0 run=1/1 stdout=[hits=4 n=0|] E=0 
bc_0914o_autoreffund_hb_c22_admit cc=0 run=1/1 stdout=[seq=12|] E=0 
bc_0914o_autoreffund_hb_h02_admit cc=0 run=1/1 stdout=[n=1 r=0|] E=0 
bc_0914o_autoreffund_hb_h03_admit cc=0 run=1/1 stdout=[n=1 r=0|] E=0 
bc_0914o_autoreffund_hb_h04_admit cc=0 run=1/1 stdout=[n=1 r=0|] E=0 
bc_0914o_autoreffund_hb_h06_admit cc=0 run=1/1 stdout=[n=1 r=0|] E=0 
bc_0914o_autoreffund_hb_h09_admit cc=0 run=1/1 stdout=[n=1 r=0|] E=0 
bc_0914o_autoreffund_hb_h10_admit cc=0 run=1/1 stdout=[n=1 r=0|] E=0 
bc_0914o_autoreffund_hb_h11_admit cc=0 run=1/1 stdout=[n=1 r=0|] E=0 
bc_0914o_autoreffund_hb_h13_admit cc=0 run=1/1 stdout=[n=1 r=0|] E=0 
bc_0914o_autoreffund_hb_h14_admit cc=0 run=1/1 stdout=[n=1 r=0|] E=0 
bc_0914o_autoreffund_hb_h15_admit cc=0 run=1/1 stdout=[n=11 r=0|] E=0 
bc_0914o_autoreffund_hb_h16_admit cc=0 run=1/1 stdout=[n=1 r=0|] E=0 
bc_0914o_autoreffund_hb_h17_admit cc=0 run=1/1 stdout=[n=1 r=0|] E=0 
bc_0914o_autoreffund_hb_h18_admit cc=0 run=1/1 stdout=[n=1 r=0|] E=0 
bc_0914o_autoreffund_hb_h19_admit cc=0 run=0/0 stdout=[] E=2 | definitely lost: 68 bytes in 2 blocks
bc_0914o_autoreffund_hb_h24_admit cc=0 run=1/1 stdout=[n=0 r=0|] E=0 
bc_0914o_autoreffund_hb_h26_admit cc=0 run=1/1 stdout=[n=1 r=0|] E=0 
bc_0914o_autoreffund_hb_h27_admit cc=0 run=1/1 stdout=[n=1 r=0|] E=0 
bc_0914o_autoreffund_hb_h30_admit cc=0 run=1/1 stdout=[seq=12|] E=0 
bc_0914o_autoreffund_hb_h34_admit cc=0 run=0/0 stdout=[n=1001 r=0|] E=1 | definitely lost: 34 bytes in 1 blocks
bc_0914o_autoreffund_hb_n04_admit cc=0 run=0/0 stdout=[len=26 n=1000|] E=0 
bc_0914o_autoreffund_hb_x02_admit cc=0 run=1/1 stdout=[inside=0 n=0|] E=0 
