id	tier	observed	class	rustc_verdict	rustc_code_or_exit	logos_today	note
lifereg_container_elem_read_admits	2	admits	CONFIRMED	refused	E0621	admits(cc=0,diag=0)	explicit lifetime required in the type of y
lifereg_derefwrite_descent_stops_at_deref_admits	2	admits	CONFIRMED	refused	E0621	admits(cc=0,diag=0)	twin declares struct H<'h> (Rust requires a named field lifetime)
lifereg_field_reborrow_deposit_unread_admits	2	admits	CONFIRMED	refused	E0621	admits(cc=0,diag=0)	
lifereg_slice_elem_field_store_admits	2	admits	CONFIRMED	refused	E0621	admits(cc=0,diag=0)	twin declares struct H<'h>
box_local_deref_escape_through_out_param_admits	2	admits	CONFIRMED	refused	E0597	admits(cc=0,diag=0)	`*bx` does not live long enough
elided_param_regions_invariant_compare_admits	2	admits	CONFIRMED	refused	lifetime may not live long enough (x2, no code)	admits(cc=0,diag=0)	two elided *mut &i64 params do not unify; not a divergence (no registry row names elision)
fnptr_elided_param_struct_literal_admits	2	admits	CONFIRMED	refused	E0308	admits(cc=0,diag=0)	
fnptr_elided_param_call_arg_admits	2	admits	CONFIRMED	refused	E0308	admits(cc=0,diag=0)	
fnptr_assign_named_to_elided_admits	2	admits	CONFIRMED	refused	E0308	admits(cc=0,diag=0)	
vec_mutref_elem_push_store_rehomed_admits	2	admits	CONFIRMED	refused	E0597	admits(cc=0,diag=0)	
loop_push_no_later_use_dangle_not_carried_admits	2	admits	CONFIRMED	refused	E0597	admits(cc=0,diag=0)	data dropped while borrowed, later iteration
arraylit_ref_elem_store_after_init_admits	2	admits	CONFIRMED	refused	E0597	admits(cc=0,diag=0)	
free_fn_outparam_ref_store_no_dangle_deposit_admits	2	admits	CONFIRMED	refused	E0597	admits(cc=0,diag=0)	
vec_of_mutref_elem_receiver_store_loan_unheld_admits	2	admits	CONFIRMED	refused	E0502	admits(cc=0,diag=0)	c auto-Copy under A16 is not leaned on (c only borrowed)
vec_elem_ref_copied_out_src_assigned_admits	2	admits	CONFIRMED	refused	E0506	admits(cc=0,diag=0)	
vec_holder_moved_src_assigned_admits	2	admits	CONFIRMED	refused	E0506	admits(cc=0,diag=0)	
setter_mutref_field_store_after_outer_set_rehomed_admits	2	admits	CONFIRMED	refused	E0597	admits(cc=0,diag=0)	
refcell_interior_push_block_local_dangle_admits	2	admits	CONFIRMED	refused	E0597	admits(cc=0,diag=0)	TWIN CHANGED: Logos guard API gd.get_mut()/borrow().get() -> Rust deref; unsafe fn main -> fn main
ref_pair_eq_without_impl_admits	2	admits	CONFIRMED	refused	E0369	admits(cc=0,diag=0)	same E0369 with #[derive(Clone,Copy)]; member g03 &(E,i64)==&(E,i64) also E0369
option_replace_ref_store_no_flow_summary_admits	2	admits	CONFIRMED	refused	E0597	admits(cc=0,diag=0)	
e0207_unconstrained_impl_type_param	2	admits	CONFIRMED	refused	E0207	admits(cc=0,diag=0)	
