fixture	kind	class	rustc_verdict	rustc_code_or_exit	expected_in_tree	note
bc_0906_patmut_hb_c05_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906_patmut_hb_c06_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906_patmut_hb_c07_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906_patmut_hb_c12_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906_patmut_hb_c13_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0 stdout: DROP v=8 -- end	twin compiles; exit/stdout match .expected
bc_0906_patmut_hb_c14_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0 stdout: DROP v=1 DROP v=7 -- end	twin compiles; exit/stdout match .expected
bc_0906_patmut_hb_c16_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0 stdout: DROP v=11 DROP v=12 -- end	twin compiles; exit/stdout match .expected
bc_0906_patmut_hb_c17_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906_patmut_hb_h05_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906_patmut_hb_h08_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906_patmut_hb_h13_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906_patmut_hb_h15_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906_patmut_hb_h19_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906_patmut_hb_h20_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906_patmut_hb_h22_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906_patmut_hb_h26_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906_patmut_hb_h36_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906_patmut_hb_h41_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906_patmut_hb_h42_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906c_patclass_hb_a14_admit	pass	CONFIRMED	ACCEPTED	exit:1	exit: 1	twin compiles; exit/stdout match .expected
bc_0906c_patclass_hb_a36_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906c_patclass_hb_c01_admit	pass	CONFIRMED	ACCEPTED	exit:1	exit: 1	twin compiles; exit/stdout match .expected
bc_0906c_patclass_hb_c02_admit	pass	CONFIRMED	ACCEPTED	exit:1	exit: 1	twin compiles; exit/stdout match .expected
bc_0906c_patclass_hb_c05_admit	pass	CONFIRMED	ACCEPTED	exit:3	exit: 3	twin compiles; exit/stdout match .expected
bc_0906e_scalarcore_hb_h16_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906e_scalarcore_hb_h33_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906e_scalarcore_hb_h34_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906e_scalarcore_hb_h35_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906f_scalarland_hb_g01_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906f_scalarland_hb_g02_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906f_scalarland_hb_g03_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906f_scalarland_hb_g04_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
bc_0906f_scalarland_hb_g05_admit	pass	CONFIRMED	ACCEPTED	exit:0	exit: 0	twin compiles; exit/stdout match .expected
