fixture	kind	class	rustc_verdict	rustc_code_or_exit	expected_in_tree	note
bc_0915a_refeq_hb_e01_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	TWIN: Logos `impl Eq for D { fn eq }` -> Rust `impl PartialEq for D` (Logos's Eq carries `eq`).
bc_0915a_refeq_hb_e02_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	
bc_0915a_refeq_hb_e05_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	
bc_0915a_refeq_hb_e06_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	
bc_0915a_refeq_hb_e07_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	
bc_0915a_refeq_hb_e09_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	
bc_0915a_refeq_hb_e11_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	
bc_0915a_refeq_hb_e15_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	
bc_0915a_refeq_hb_e16_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	
bc_0915a_refeq_hb_e17_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	
bc_0915a_refeq_hb_e18_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	
bc_0915a_refeq_hb_e20_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	
bc_0915a_refeq_hb_e21_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	
bc_0915a_refeq_hb_e25_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	
bc_0915a_refeq_hb_e28_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	
bc_0915a_refeq_hb_e29_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	
bc_0915a_refeq_hb_e30_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	
bc_0915a_refeq_hb_e31_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	
bc_0915a_refeq_hb_e39_admit.logos	pass	DIVERGENCE	refuses literal twin / accepts trait twin	E0369 / exit 0	exit: 0	DIVERGENCE trait.binop.partial-ord-derive: `<=`/`<` supplied by an INHERENT `partial_cmp`; literal twin refused E0369, PartialOrd-impl twin compiles and exits 0 (the ANSWER is Rust-canonical, the SPELLING is the clause)
bc_0915a_refeq_hb_e46_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	
bc_0915a_refeq_hb_e47_admit.logos	pass	CONFIRMED	accepts	exit 0	exit: 0	
