fixture	kind	class	rustc_verdict	rustc_code_or_exit	expected_in_tree	note
bc_0906_patmut_hb_h02_refuse	fail	CONFIRMED	REFUSED	E0596	[fn main]: cannot borrow 's' as mutable: not declared as mut	
bc_0906_patmut_hb_h06_refuse	fail	CONFIRMED	REFUSED	E0596	[fn main]: cannot borrow 's' as mutable: not declared as mut	
bc_0906_patmut_hb_h12_refuse	fail	CONFIRMED	REFUSED	E0596	[fn main]: cannot borrow 's' as mutable: not declared as mut	
bc_0906_patmut_hb_h21_refuse	fail	CONFIRMED	REFUSED	E0596	[fn main]: cannot borrow 's' as mutable: not declared as mut	
bc_0906_patmut_hb_h25_refuse	fail	CONFIRMED	REFUSED	E0596	[fn main]: cannot borrow 'bb' as mutable: not declared as mut	
bc_0906_patmut_hb_h33_refuse	fail	CONFIRMED	REFUSED	E0596	[fn main]: cannot borrow 'bb' as mutable: not declared as mut	
bc_0906_patmut_hb_h39_refuse	fail	CONFIRMED	REFUSED	E0596	[fn main]: cannot borrow 's' as mutable: not declared as mut	
bc_0907a_boxmutctx_hb_h17_refuse	fail	CONFIRMED	REFUSED	E0594	[fn main]: cannot borrow 'bb' as mutable: not declared as mut	
bc_0907a_boxmutctx_hb_h21_refuse	fail	CONFIRMED	REFUSED	E0596	[fn main]: cannot borrow 'w' as mutable: not declared as mut	
bc_0908_subslice_hb_hp_full_rest_refuse	fail	CONFIRMED	REFUSED	E0382	[fn main]: use of partially moved value 'a'	
bc_0908_subslice_hb_hp_iflet_rest_refuse	fail	CONFIRMED	REFUSED	E0382	[fn main]: use of moved field 'a.2'	
bc_0908_subslice_hb_hp_rest_twice_refuse	fail	CONFIRMED	REFUSED	E0382	[fn main]: use of moved field 'a.2'	
bc_0909f_ergorefland_hb_my03_refuse	fail	CONFIRMED	REFUSED	cannot explicitly borrow within an implicitly-borrowing patt	[fn main]: binding modifiers may only be written when the default binding mode is `move`: 	
bc_0909f_ergorefland_hb_my04_refuse	fail	CONFIRMED	REFUSED	cannot explicitly borrow within an implicitly-borrowing patt	[fn main]: binding modifiers may only be written when the default binding mode is `move`: 	
bc_0909f_ergorefland_hb_my05_refuse	fail	CONFIRMED	REFUSED	cannot explicitly borrow within an implicitly-borrowing patt	[fn main]: binding modifiers may only be written when the default binding mode is `move`: 	
bc_0909f_ergorefland_hb_my07_refuse	fail	CONFIRMED	REFUSED	(no code)	[fn take]: binding modifiers may only be written when the default binding mode is `move`: 	twin v1 died on E0614 (one deref too many); v2 reaches the Rust-2024 binding-modifier verdict
bc_0909f_ergorefland_hb_my08_refuse	fail	CONFIRMED	REFUSED	cannot explicitly borrow within an implicitly-borrowing patt	[fn main]: binding modifiers may only be written when the default binding mode is `move`: 	
bc_0909k_selfrecv_hb_h10_refuse	fail	CONFIRMED	REFUSED	E0053	[fn S__eat]: impl Eat for S: method 'eat' does not match the trait declaration: the receiv	
bc_0909k_selfrecv_hb_h13_refuse	fail	CONFIRMED	REFUSED	E0053	[fn S__drop]: impl Drop for S: method 'drop' does not match the trait declaration: the rec	
bc_0909k_selfrecv_hb_h1_refuse	fail	CONFIRMED	REFUSED	E0053	[fn S__drop]: impl Drop for S: method 'drop' does not match the trait declaration: the rec	twin rewrite marked // TWIN:
bc_0909k_selfrecv_hb_h2_refuse	fail	CONFIRMED	REFUSED	E0053	[fn S__drop]: impl Drop for S: method 'drop' does not match the trait declaration: the rec	
bc_0909k_selfrecv_hb_h5_refuse	fail	CONFIRMED	REFUSED	E0053	[fn G__drop]: impl Drop for G: method 'drop' does not match the trait declaration: the rec	
bc_0909k_selfrecv_hb_h9_refuse	fail	CONFIRMED	REFUSED	E0053	[fn S__tick]: impl Tick for S: method 'tick' does not match the trait declaration: the rec	
bc_0909sigland_hb_x01_refuse	fail	CONFIRMED	REFUSED	E0053	[fn R__ask]: impl Ask for R: method 'ask' does not match the trait declaration: the return	twin rewrite marked // TWIN:
bc_0909sigland_hb_x07_refuse	fail	CONFIRMED	REFUSED	E0053	[fn R__ask]: impl Ask for R: method 'ask' does not match the trait declaration: the return	twin rewrite marked // TWIN:
bc_0909sigland_hb_x08_refuse	fail	CONFIRMED	REFUSED	E0053	[fn R__ask]: impl Ask for R: method 'ask' does not match the trait declaration: the return	
bc_0910d_vecbare_hb_n2_refuse	fail	CONFIRMED	REFUSED	E0308	[fn main]: call to 'total' arg 1: expected &[i64], got &Vec<i64>	twin rewrite marked // TWIN:
bc_0910d_vecbare_hb_n3_refuse	fail	CONFIRMED	REFUSED	E0308	[fn main]: call to 'total' arg 1: expected &[i64], got &mut Vec<i64>	
bc_0910d_vecbare_hb_n4_refuse	fail	CONFIRMED	REFUSED	E0308	[fn main]: call to 'total' arg 1: expected &[i64], got &Vec<i64>	
bc_0912b_rpitbound_hb_c1_refuse	fail	CONFIRMED	REFUSED	E0594	[fn mk]: closure does not implement `Fn`: its body mutates a captured variable, so it is `	
bc_0912b_rpitbound_hb_c3_refuse	fail	CONFIRMED	REFUSED	E0507	[fn mk]: closure does not implement `FnMut`: its body moves out (consumes) a captured vari	
bc_0912b_rpitbound_hb_c5_refuse	fail	CONFIRMED	REFUSED	E0594	[fn S__maker]: closure does not implement `Fn`: its body mutates a captured variable, so i	
bc_0912n_bcdoor_hb_i2_refuse	fail	CONFIRMED	REFUSED	E0716	[fn main]: temporary value dropped while borrowed: this reference borrows into a temporary	twin rewrite marked // TWIN:
bc_0912n_bcdoor_hb_i3_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn main]: temporary value dropped while borrowed: this reference borrows into a temporary	twin rewrite marked // TWIN:
bc_0912n_bcdoor_hb_i5_refuse	fail	CONFIRMED	REFUSED	E0716	[fn main]: temporary value dropped while borrowed: this reference borrows into a temporary	twin rewrite marked // TWIN:
bc_0912q_letregion_hb_d1_refuse	fail	CONFIRMED	REFUSED	E0597	[fn foo]: 'v' does not live long enough: it is borrowed into 'x', whose declared type requ	
bc_0912q_letregion_hb_d2_refuse	fail	CONFIRMED	REFUSED	E0597	[fn foo]: 'v' does not live long enough: it is borrowed into 'x', whose declared type requ	
bc_0912q_letregion_hb_e1_refuse	fail	CONFIRMED	REFUSED	E0597	[fn foo]: 'v' does not live long enough: it is borrowed into 'x', whose declared type requ	
bc_0912q_letregion_hb_e2_refuse	fail	CONFIRMED	REFUSED	E0597	[fn foo]: 'v' does not live long enough: it is borrowed into 'x', whose declared type requ	
bc_0912q_letregion_hb_n4_refuse	fail	CONFIRMED	REFUSED	E0597	[fn foo]: 'v' does not live long enough: it is borrowed into 'r', whose declared type requ	
bc_0912q_letregion_hb_n6_refuse	fail	CONFIRMED	REFUSED	E0597	[fn foo]: 'p' does not live long enough: it is borrowed into 'r', whose declared type requ	
bc_0912q_letregion_hb_q6_refuse	fail	CONFIRMED	REFUSED	E0597	[fn foo]: 'v' does not live long enough: it is borrowed and stored through 'out', whose st	
bc_0912r_escroot_hb_g25_refuse	fail	CONFIRMED	REFUSED	E0597	[fn store]: 'v' does not live long enough: it is borrowed and stored through 'out', whose 	
bc_0912r_escroot_hb_k14_refuse	fail	CONFIRMED	REFUSED	E0597	[fn foo]: 's' does not live long enough: it is borrowed and stored through 'out', whose st	
bc_0912r_escroot_hb_k19_refuse	fail	CONFIRMED	REFUSED	E0597	[fn foo]: 'arr' does not live long enough: it is borrowed and stored through 'out', whose 	
bc_0912r_escroot_hb_k20_refuse	fail	CONFIRMED	REFUSED	E0597	[fn foo]: 's' does not live long enough: it is borrowed and stored through 'out', whose st	
bc_0912r_escroot_hb_k24_refuse	fail	CONFIRMED	REFUSED	E0597	[fn foo]: 'v' does not live long enough: it is borrowed into 'r', whose declared type requ	
bc_0912r_escroot_hb_x1_refuse	fail	CONFIRMED	REFUSED	E0597	[fn foo]: 'v' does not live long enough: it is borrowed and stored through 'out', whose st	
bc_0912r_escroot_hb_x2_refuse	fail	CONFIRMED	REFUSED	E0597	[fn foo]: 'v' does not live long enough: it is borrowed and stored through 'out', whose st	
bc_0913a_selfregion_hb_e5_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn W__mk]: return type mismatch: variance mismatch — expected W<'_, T>, got W<T> — li	
bc_0913a_selfregion_hb_e6_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn E__mk]: return type mismatch: variance mismatch — expected E<'_>, got E — lifetime	
bc_0913a_selfregion_hb_h15_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn E__b]: return type mismatch: variance mismatch — expected E<'a>, got E<'q> — lifet	
bc_0913a_selfregion_hb_h1_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn $ref_&'_ i64__mk]: return type mismatch: variance mismatch — expected &'_ i64, got &	
bc_0913a_selfregion_hb_h2_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn E__mk]: enum literal 'Self': variance mismatch — expected E<'q>, got E<'a> — lifet	
bc_0913a_selfregion_hb_i1_refuse	fail	CONFIRMED	REFUSED	E0621	[fn Foo__swap_in]: struct literal 'Self': variance mismatch — expected Foo<'s>, got Foo 	
bc_0913a_selfregion_hb_i2_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn W__mk]: struct literal 'Self': variance mismatch — expected W<'q, T>, got W<'a, T> �	
bc_0913a_selfregion_hb_i3_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn Foo__swap_in]: struct literal 'Self': variance mismatch — expected Foo<'_>, got Foo 	
bc_0913a_selfregion_hb_i5_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn P__flip]: struct literal 'Self': variance mismatch — expected P<'_#1, '_#2>, got P<'	
bc_0913a_selfregion_hb_r13a2_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn MyStruct__tmake]: struct literal 'Self': variance mismatch — expected MyStruct<'_>, 	
bc_0913a_selfregion_hb_r13b_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn MyStruct__make]: struct literal 'Self': variance mismatch — expected MyStruct<'q>, g	
bc_0913a_selfregion_hb_r13d_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn MyStruct__make]: return type mismatch: variance mismatch — expected MyStruct<'_>, go	
bc_0913a_selfregion_hb_s12_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn P__swap]: return type mismatch: variance mismatch — expected P<'_#1, '_#2>, got P<'_	
bc_0913a_selfregion_hb_s14_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn MyStruct__make]: struct literal 'Self': variance mismatch — expected MyStruct<'q>, g	
bc_0913a_selfregion_hb_s1_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn MyStruct__make]: let 's': variance mismatch — expected MyStruct<'q>, got MyStruct<'a	
bc_0913a_selfregion_hb_s3_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn MyStruct__make]: struct literal 'Self': variance mismatch — expected MyStruct<'q>, g	
bc_0913a_selfregion_hb_s5_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn Foo__mk]: return type mismatch: variance mismatch — expected Foo<'_>, got Foo — li	
bc_0913a_selfregion_hb_t8_refuse	fail	CONFIRMED	REFUSED	E0308	[fn E__g]: enum literal 'Self': variance mismatch — expected E<'q>, got E<'a> — lifeti	
bc_0913b_selfregion_land_hb_b02_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn Foo__mk]: struct literal 'Self': variance mismatch — expected Foo<'q>, got Foo<'a> �	
bc_0913b_selfregion_land_hb_b03_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn E__mk]: enum literal 'Self': variance mismatch — expected E<'q>, got E<'a> — lifet	
bc_0913b_selfregion_land_hb_b04_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn P__swap]: struct literal 'Self': variance mismatch — expected P<'_#1, '_#2>, got P<'	
bc_0913b_selfregion_land_hb_b06_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn E__mk]: enum literal 'Self': variance mismatch — expected E<'q>, got E<'a> — lifet	
bc_0913b_selfregion_land_hb_b08_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn W$G1$ref_i64__mk]: return type mismatch: variance mismatch — expected W<&'_ i64>, go	
bc_0913b_selfregion_land_hb_b09_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn W__mk]: struct literal 'Self': variance mismatch — expected W<'_, T>, got W<T> — l	
bc_0913b_selfregion_land_hb_b10_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn E__mk]: enum literal 'Self': variance mismatch — expected E<'_>, got E — lifetime 	
bc_0913b_selfregion_land_hb_b11_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn Foo__stash]: let 'g': variance mismatch — expected Foo<'_>, got Foo — lifetime str	
bc_0913b_selfregion_land_hb_b12_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn E__n]: let 'e': variance mismatch — expected E<'a>, got E<'q> — lifetime structure	
bc_0913c_staticdemand_hb_c09_refuse	fail	CONFIRMED	REFUSED	E0597	[fn set_bar]: assignment to 'BAR': variance mismatch — expected &'static u8, got &u8 —	
bc_0913c_staticdemand_hb_c10_refuse	fail	CONFIRMED	REFUSED	E0597	[fn set_bar]: assignment to 'BAR': variance mismatch — expected &'static u8, got &u8 —	
bc_0913c_staticdemand_hb_c13_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn set_bar]: assignment to 'BAR': variance mismatch — expected &'static u8, got &u8 —	
bc_0913c_staticdemand_hb_d26_refuse	fail	CONFIRMED	REFUSED	E0521	[fn error]: call to 'static_id_indirect': borrowed data escapes — argument 1 `v` does no	
bc_0913c_staticdemand_hb_m1i_array_elided_refuse	fail	CONFIRMED	REFUSED	E0597	[fn set]: assignment to 'ARR[i]': variance mismatch — expected &'static u8, got &u8 — 	
bc_0913c_staticdemand_hb_m1i_named_param_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn keep]: assignment to 'BAR': variance mismatch — expected &'static u8, got &'a u8 —	
bc_0913c_staticdemand_hb_m1i_nested_ref_refuse	fail	CONFIRMED	REFUSED	E0597	[fn set]: assignment to 'PP': variance mismatch — expected &'static &'static u8, got &&u	
bc_0913c_staticdemand_hb_m1i_param_elided_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn keep]: assignment to 'BAR': variance mismatch — expected &'static u8, got &u8 — li	
bc_0913c_staticdemand_hb_m1i_tuple_elided_refuse	fail	CONFIRMED	REFUSED	E0597	[fn set]: assignment to 'TP': variance mismatch — expected (&'static u8, i64), got (&u8,	
bc_0913c_staticdemand_hb_m2i_generic_t_where_static_refuse	fail	CONFIRMED	REFUSED	E0521	[fn error]: call to 'keep': borrowed data escapes — argument 1 `u` does not live for 'st	
bc_0913c_staticdemand_hb_m2i_method_param_refuse	fail	CONFIRMED	REFUSED	E0521	[fn error]: call to 'keep': borrowed data escapes — argument 1 `u` does not live for 'st	
bc_0913c_staticdemand_hb_m2i_mut_ref_refuse	fail	CONFIRMED	REFUSED	E0521	[fn error]: call to 'grab': borrowed data escapes — argument 1 does not live for 'static	
bc_0913c_staticdemand_hb_m2i_named_caller_refuse	fail	CONFIRMED	REFUSED	E0521	[fn error]: call to 'static_id': borrowed data escapes — argument 1 `u` does not live fo	
